hhid,latitude,longitude,GAEZ_57class1
1001,11.799159,38.1436,9
1002,11.799172,38.143462,9
1003,11.799283,38.143585,9
1004,11.799203,38.143592,9
1005,11.799203,38.14359,9
1006,11.799044,38.143701,9
1007,11.798952,38.143768,9
1008,11.798998,38.143767,9
1009,11.799108,38.143683,9
1010,11.799153,38.143778,9
1011,11.799232,38.14371,9
1012,11.799308,38.143605,9
1013,11.799259,38.14379,9
1014,11.799258,38.143249,9
1015,11.799378,38.143608,9
1016,11.799282,38.143872,9
1017,11.79929,38.143958,9
1018,11.799501,38.143906,9
1019,11.799398,38.14399,9
1020,11.799477,38.144108,9
1021,11.799453,38.144077,9
1022,11.799437,38.14408,9
1023,11.799434,38.144075,9
1024,11.799472,38.144098,9
1025,11.799565,38.144177,9
1026,11.799562,38.144225,9
1027,11.799572,38.144172,9
1028,11.79972,38.144192,9
1029,11.799763,38.144292,9
1030,11.799625,38.144423,9
1031,11.79967,38.144288,9
1032,11.799853,38.144018,9
1033,11.799773,38.143958,9
1034,11.799502,38.143919,9
1035,11.79962,38.143807,9
1036,11.799485,38.143717,9
1037,11.799347,38.14363,9
1038,11.799551,38.14373,9
1039,11.799594,38.1439,9
1040,11.79972,38.143814,9
1041,11.79979,38.143631,9
1042,11.799865,38.143777,9
1043,11.800157,38.143433,9
1044,11.799719,38.143441,9
1045,11.799684,38.143487,9
1046,11.799778,38.143426,9
1047,11.80008,38.143475,9
1048,11.800145,38.143498,9
1049,11.800056,38.143407,9
1050,11.8,38.143403,9
1051,11.800132,38.143331,9
1052,11.800227,38.14317,9
1053,11.800245,38.143169,9
1054,11.800285,38.143088,9
1055,11.800357,38.143087,9
1056,11.800358,38.143116,9
1057,11.800354,38.14291,9
1058,11.800366,38.142955,9
1059,11.79958,38.14339,9
1060,11.79963,38.143263,9
1061,11.799653,38.143258,9
1062,11.799717,38.14355,9
1063,11.799663,38.143683,9
1064,11.79963,38.143653,9
1065,11.79954,38.143512,9
1066,11.799488,38.14349,9
1067,11.799425,38.143472,9
1068,11.799358,38.143413,9
1069,11.799257,38.143348,9
1070,11.799147,38.143383,9
1071,11.799777,38.143275,9
1072,11.799837,38.143402,9
1073,11.79991,38.143094,9
1074,11.79997,38.143275,9
1075,11.799957,38.143302,9
1076,11.799963,38.143273,9
1077,11.799978,38.14316,9
1078,11.799998,38.143074,9
1079,11.800093,38.143018,9
1080,11.800163,38.143,9
1081,11.799681,38.143203,9
1082,11.799689,38.143052,9
1083,11.799848,38.143039,9
1084,11.799907,38.142685,9
1085,11.800002,38.142911,9
1086,11.800042,38.142865,9
1087,11.800176,38.142761,9
1088,11.800037,38.142702,9
1089,11.799981,38.142631,9
1090,11.800149,38.14266,9
1091,11.800368,38.142865,9
1092,11.800392,38.142791,9
1093,11.800193,38.142897,9
1094,11.800222,38.142952,9
1095,11.800182,38.14295,9
1096,11.799854,38.142534,9
1097,11.799653,38.142362,9
1098,11.799705,38.142608,9
1099,11.799527,38.14301,9
1100,11.799843,38.142774,9
1101,11.799753,38.142378,9
1102,11.799687,38.142505,9
1103,11.799653,38.143027,9
1104,11.799653,38.143027,9
1105,11.799487,38.142952,9
1106,11.799577,38.143163,9
1107,11.799525,38.14319,9
1108,11.79955,38.144367,9
1109,11.799476,38.144329,9
